product_id,sku,vendor,status,image_full,image_thumb
gid://shopify/Product/15544913952841,JBL67078,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2022/07/JBL67078.png,https://www.akwa.co.za/wp-content/uploads/2022/07/JBL67078-300x300.png
gid://shopify/Product/15544889540681,LED0003,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0003.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0003-300x300.png
gid://shopify/Product/15544889835593,LED0004,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0004.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0004-300x300.png
gid://shopify/Product/15544889573449,LED0012,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0012.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0012-300x300.png
gid://shopify/Product/15544889016393,LED0080,Aqua Cube,ARCHIVED,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0080.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0080-300x300.png
gid://shopify/Product/15547028439113,LED0080,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0080.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0080-300x300.png
gid://shopify/Product/15544889311305,LED0100,Aqua Cube,ARCHIVED,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0100.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0100-300x300.png
gid://shopify/Product/15544889049161,LED0120,Aqua Cube,ARCHIVED,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0120.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0120-300x300.png
gid://shopify/Product/15544889344073,LED0150,Aqua Cube,ARCHIVED,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0150.png,https://www.akwa.co.za/wp-content/uploads/2025/10/LED0150-300x300.png
gid://shopify/Product/15544893407305,LR0070,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/LR0070.png,https://www.akwa.co.za/wp-content/uploads/2020/05/LR0070-300x300.png
gid://shopify/Product/15544884822089,LS0081,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/LS0081.png,https://www.akwa.co.za/wp-content/uploads/2020/03/LS0081-300x300.png
gid://shopify/Product/15544884985929,LS0083,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/LS0083.png,https://www.akwa.co.za/wp-content/uploads/2020/03/LS0083-300x300.png
gid://shopify/Product/15544903532617,ML1013,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1013.png,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1013-300x300.png
gid://shopify/Product/15544903303241,ML1021,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1021-e1748871690261.png,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1021-e1748871690261-300x300.png
gid://shopify/Product/15544903598153,ML1031,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1031-e1748871665138.png,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1031-e1748871665138-300x300.png
gid://shopify/Product/15544903336009,ML1032,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1032-e1748871630250.png,https://www.akwa.co.za/wp-content/uploads/2024/10/ML1032-e1748871630250-300x300.png
gid://shopify/Product/15544903630921,ML1040,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/ML1040.png,https://www.akwa.co.za/wp-content/uploads/2025/10/ML1040-300x300.png
gid://shopify/Product/15544903368777,ML1041,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/ML1041.png,https://www.akwa.co.za/wp-content/uploads/2025/10/ML1041-300x300.png
gid://shopify/Product/15544918966345,NTL0004,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0004-e1748849043189.png,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0004-e1748849043189-300x300.png
gid://shopify/Product/15544918736969,NTL0093,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0093-e1748848559308.png,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0093-e1748848559308-300x300.png
gid://shopify/Product/15544920637513,NTL0315,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/11/NTL0315.png,https://www.akwa.co.za/wp-content/uploads/2025/11/NTL0315-300x300.png
gid://shopify/Product/15544919392329,NTL0481,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0481-e1748844349911.png,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0481-e1748844349911-300x300.png
gid://shopify/Product/15544919490633,NTL0496,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0496-e1748844095771.png,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0496-e1748844095771-300x300.png
gid://shopify/Product/15544920506441,NTL0548,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/11/NTL0548.png,https://www.akwa.co.za/wp-content/uploads/2025/11/NTL0548-300x300.png
gid://shopify/Product/15544920047689,NTL0550,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0550-e1748607579552.png,https://www.akwa.co.za/wp-content/uploads/2025/05/NTL0550-e1748607579552-300x300.png
gid://shopify/Product/15544920178761,NTL0551,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/11/NTL0551.png,https://www.akwa.co.za/wp-content/uploads/2025/11/NTL0551-300x300.png
gid://shopify/Product/15544907464777,PUV1538,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/PUV1538.png,https://www.akwa.co.za/wp-content/uploads/2020/03/PUV1538-300x300.png
gid://shopify/Product/15544891703369,TH0501,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/07/TH0501.png,https://www.akwa.co.za/wp-content/uploads/2023/07/TH0501-300x300.png
