product_id,name,price,in_stock,product_url,image_url,sku_from_image
"2589","SUN SUN POWERHEAD – HQJ-700G – 500 L/H","R105.90 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-powerhead-hqj-700g-500-l-h/","https://www.akwa.co.za/wp-content/uploads/2020/04/PHS0511-300x300.png","PHS0511"
"2590","SUN SUN POWERHEAD – HQJ-900G – 900 L/H","R150.10 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-powerhead-hqj-900g-900-l-h/","https://www.akwa.co.za/wp-content/uploads/2020/04/PHS0512-300x300.png","PHS0512"
"5090","SUN SUN HW-303B CANISTER + UV LAMP 1400 L/H","R1,580.25 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-hw-303b-canister-uv-lamp-1400-l-h/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0520-300x300.png","CFS0520"
"5091","SUN SUN HW-304B CANISTER + UV LAMP 2000 L/H","R1,904.70 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-hw-304b-canister-uv-lamp-2000-l-h/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0522-300x300.png","CFS0522"
"5094","IN / OUT TAP ASSEMBLY HW-303B","R136.65 Excl. Vat","Yes","https://www.akwa.co.za/product/in-out-tap-assembly-hw-303b/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0532-300x300.png","CFS0532"
"5095","IN / OUT TAP ASSEMBLY HW-304B","R136.65 Excl. Vat","Yes","https://www.akwa.co.za/product/in-out-tap-assembly-hw-304b/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0533-300x300.png","CFS0533"
"5096","INTAKE / OUTLET ACCESSORIES HW-303B","R88.55 Excl. Vat","Yes","https://www.akwa.co.za/product/intake-outlet-accessories-hw-303b/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0535-300x300.png","CFS0535"
"5097","INTAKE / OUTLET ACCESSORIES HW-304B","R88.55 Excl. Vat","Yes","https://www.akwa.co.za/product/intake-outlet-accessories-hw-304b/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0536-300x300.png","CFS0536"
"5092","O-RING CANISTER HW-303B","R48.50 Excl. Vat","Yes","https://www.akwa.co.za/product/o-ring-canister-hw-303b/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0530-300x300.png","CFS0530"
"5093","O-RING CANISTER HW-304B","R48.50 Excl. Vat","Yes","https://www.akwa.co.za/product/o-ring-canister-hw-304b/","https://www.akwa.co.za/wp-content/uploads/2020/07/CFS0531-300x300.png","CFS0531"
"20316","SUN SUN HW-303B FILTER WOOL","R30.85 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-hw-303b-filter-wool/","https://www.akwa.co.za/wp-content/uploads/2025/11/FI0650-300x300.png","FI0650"
"20319","SUN SUN HW-304B FILTER WOOL","R34.95 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-hw-304b-filter-wool/","https://www.akwa.co.za/wp-content/uploads/2025/11/FI0651-300x300.png","FI0651"
"2667","DOPHIN ROD THERMOMETER (B/CARD)","R17.85 Excl. Vat","Yes","https://www.akwa.co.za/product/aim-rod-thermometer-b-card/","https://www.akwa.co.za/wp-content/uploads/2023/07/TH0501-300x300.png","TH0501"
"2675","FLOATING THERMOMETER WITH HYDROMETER","R40.70 Excl. Vat","Yes","https://www.akwa.co.za/product/floating-thermometer-with-hydrometer/","https://www.akwa.co.za/wp-content/uploads/2020/04/TH0506-300x300.png","TH0506"
"2676","SUN SUN DIGITAL THERMOMETER – WDJ-004","R62.35 Excl. Vat","Yes","https://www.akwa.co.za/product/sun-sun-digital-thermometer-wdj-004/","https://www.akwa.co.za/wp-content/uploads/2020/04/TH0004-300x300.png","TH0004"
"2674","THERMOMETER DIGITAL STICK ON","R16.25 Excl. Vat","Yes","https://www.akwa.co.za/product/thermometer-digital-stick-on/","https://www.akwa.co.za/wp-content/uploads/2020/04/TH0504-300x300.png","TH0504"
"2673","THERMOMETER GLASS & SUCTION CUP","R13.20 Excl. Vat","Yes","https://www.akwa.co.za/product/thermometer-glass-suction-cup/","https://www.akwa.co.za/wp-content/uploads/2020/04/TH0502-300x300.png","TH0502"
"15357","AIRLINE ELBOW JOINT – 50/PACK","R76.45 Excl. Vat","Yes","https://www.akwa.co.za/product/airline-elbow-joint-50-pack/","https://www.akwa.co.za/wp-content/uploads/2024/03/AA0529-300x300.png","AA0529"
