Handle,Image Src,Image Position,Image Alt Text
akwa-dophin-50w-heater,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-081.jpg,1,Akwa Dophin 50W Heater
akwa-dophin-100w-heater,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-082.jpg,1,Akwa Dophin 100W Heater
akwa-dophin-150w-heater-300mm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-083.jpg,1,Akwa Dophin 150W Heater 300mm
akwa-dophin-200w-heater-310mm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-084.jpg,1,Akwa Dophin 200W Heater 310mm
akwa-dophin-300w-heater-360mm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-085.jpg,1,Akwa Dophin 300W Heater 360mm
akwa-dophin-500w-heater,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-086.jpg,1,Akwa Dophin 500W Heater
akwa-sunsun-xrb-600w-heater,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-087.jpg,1,Akwa SunSun XRB-600W Heater
akwa-sunsun-xrb-1000w-heater,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-088.jpg,1,Akwa SunSun XRB-1000W Heater
akwa-ac-dc-air-pump-apq-505-510lh,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-089.jpg,1,Akwa AC/DC Air Pump APQ-505 510L/H
akwa-ac-dc-air-pump-apq-510-1020lh,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-090.jpg,1,Akwa AC/DC Air Pump APQ-510 1020L/H
akwa-ac-dc-air-pump-jt-203s-240lh,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-091.jpg,1,Akwa AC/DC Air Pump JT-203S 240L/H
akwa-gravel-cleaner-small-250mm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-092.jpg,1,Akwa Gravel Cleaner Small 250mm
akwa-gravel-cleaner-large-350mm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-093.jpg,1,Akwa Gravel Cleaner Large 350mm
akwa-dophin-magnetic-cleaner-small,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-094.jpg,1,Akwa Dophin Magnetic Cleaner Small
akwa-dophin-magnetic-cleaner-medium,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-095.jpg,1,Akwa Dophin Magnetic Cleaner Medium
akwa-dophin-magnetic-cleaner-large,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-096.jpg,1,Akwa Dophin Magnetic Cleaner Large
akwa-dophin-scraper-mc-101,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-097.jpg,1,Akwa Dophin Scraper MC-101
akwa-activated-carbon-500ml,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-098.jpg,1,Akwa Activated Carbon 500ml
akwa-activated-carbon-1l,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-099.jpg,1,Akwa Activated Carbon 1L
akwa-ceramic-noodles-500ml,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-100.jpg,1,Akwa Ceramic Noodles 500ml
akwa-ceramic-noodles-1l,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-101.jpg,1,Akwa Ceramic Noodles 1L
akwa-zeolite-ammonia-remover-500ml,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-102.jpg,1,Akwa Zeolite Ammonia Remover 500ml
akwa-zeolite-ammonia-remover-1l,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-103.jpg,1,Akwa Zeolite Ammonia Remover 1L
akwa-dophin-mini-tank-gt-8003-12l,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-104.jpg,1,Akwa Dophin Mini Tank GT-8003 12L
